REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"78000479","19","271860","4674370"
"77000201","18","731450","4704910"
"74000394","19","327492","4601575"
"73000327","19","347010","4740830"
"76000305","19","324895","4693420"
"76000306","19","326155","4694030"
"68000020","19","338580","4715050"
"77000202","19","260740","4670640"
"76000307","19","279160","4702270"
"73000329","19","270856","4694920"
"80000668","19","330640","4690910"
"75000300","19","330960","4692200"
"80000669","19","331130","4692180"
"76000248","19","317680","4700980"
"80000670","19","329520","4691820"
"76000253","19","309120","4723940"
"75000272","19","325810","4698050"
"75000276","19","326180","4698380"
"75000277","19","326150","4698200"
"75000281","19","325960","4698410"
"76000242","19","318400","4699640"
"78000430","19","322660","4698040"
"74000363","19","322360","4698000"
"72000128","19","325510","4693580"
"79000332","19","339300","4702840"
"79000333","19","339700","4702850"
"79000334","19","339340","4702970"
"79000372","19","255150","4717610"
"79000373","19","254150","4717910"
"79000376","19","254840","4718130"
"79000377","19","280215","4702390"
"79000378","19","279245","4706480"
"82001905","19","323465","4726350"
"75000304","19","344860","4710440"
"80000648","19","320940","4664620"
"80000674","19","327800","4686030"
"80001675","19","278300","4675960"
"80001676","19","254200","4717980"
"80001677","19","254980","4718050"
"80001678","19","279090","4702480"
"80001680","19","283460","4684405"
"73000298","19","361071","4715906"
"80001682","19","282610","4661440"
"80001683","19","328030","4688170"
"66000364","19","323910","4693440"
"77000653","19","268880","4683460"
"66000365","19","307250","4703010"
"80000528","19","269805","4684180"
"80000529","19","269860","4684170"
"80000607","19","268790","4682460"
"66000366","19","329660","4691980"
"80000589","19","269800","4683330"
"80000546","19","270560","4681940"
"80000543","19","269450","4682040"
"80000536","19","268370","4681980"
"80000550","19","267530","4681510"
"66000367","19","321120","4678840"
"80000581","19","268230","4682800"
"76000950","19","321090","4689600"
"78001402","19","360160","4655210"
"80000459","19","348480","4727700"
"80000452","19","349760","4726290"
"80000447","19","349670","4726250"
"80000449","19","349580","4726480"
"80000441","19","349720","4726310"
"80000469","19","349960","4726380"
"80000440","19","349420","4725880"
"80000467","19","349930","4726300"
"80000456","19","349460","4726570"
"78001404","19","359900","4654820"
"82002746","19","319040","4688470"
"80000484","19","268120","4680440"
"80000487","19","268200","4680470"
"76000308","19","277650","4685860"
"80000488","19","268850","4680610"
"80000511","19","269240","4687480"
"73000853","19","345138","4718341"
"78001406","19","336660","4739490"
"74000918","19","325144","4674557"
"78001408","19","345650","4712100"
"76000955","19","338060","4634280"
"82002749","19","317740","4681270"
"72000115","19","343892","4745992"
"75000242","19","323500","4723580"
"72000123","19","336300","4724920"
"74000366","19","337371","4727377"
"70000539","19","329875","4691755"
"76000235","19","338560","4716130"
"74000367","19","341987","4713104"
"75000246","19","345620","4711870"
"66000651","19","329790","4680830"
"74001761","19","285350","4709440"
